symbol,min_score,max_move_pct,notes
A,0.75,3,
AA,0.75,3,
AAOI,0.75,3,
AAON,0.75,3,
AAPL,0.75,3,
AAUC,0.75,3,
ABAT,0.75,3,
ABBV,0.75,3,
ABSI,0.75,3,
ABT,0.75,3,
ABTC,0.75,3,
ABTS,0.75,3,
ACA,0.75,3,
ACAD,0.75,3,
ACCL,0.75,3,
ACCS,0.75,3,
ACFN,0.75,3,
ACIW,0.75,3,
ACLS,0.75,3,
ACMR,0.75,3,
ACN,0.75,3,
ACNT,0.75,3,
ACU,0.75,3,
ACVA,0.75,3,
ADBE,0.75,3,
ADEA,0.75,3,
ADI,0.75,3,
ADM,0.75,3,
ADMA,0.75,3,
ADP,0.75,3,
ADPT,0.75,3,
ADSE,0.75,3,
ADSK,0.75,3,
ADTN,0.75,3,
ADUR,0.75,3,
ADUS,0.75,3,
ADXN,0.75,3,
AEHR,0.75,3,
AEIS,0.75,3,
AEM,0.75,3,
AENT,0.75,3,
AEON,0.75,3,
AERT,0.75,3,
AEYE,0.75,3,
AG,0.75,3,
AGI,0.75,3,
AGL,0.75,3,
AGNT,0.75,3,
AGPU,0.75,3,
AGX,0.75,3,
AGYS,0.75,3,
AHR,0.75,3,
AIAI,0.75,3,
AIN,0.75,3,
AIP,0.75,3,
AIR,0.75,3,
AIRE,0.75,3,
AIRG,0.75,3,
AIRS,0.75,3,
AISP,0.75,3,
AIT,0.75,3,
ALAB,0.75,3,
ALB,0.75,3,
ALC,0.75,3,
ALCO,0.75,3,
ALG,0.75,3,
ALGM,0.75,3,
ALGN,0.75,3,
ALKS,0.75,3,
ALKT,0.75,3,
ALLE,0.75,3,
ALM,0.75,3,
ALMR,0.75,3,
ALMU,0.75,3,
ALNT,0.75,3,
ALNY,0.75,3,
ALRM,0.75,3,
ALV,0.75,3,
AMAT,0.75,3,
AMBA,0.75,3,
AMBQ,0.75,3,
AMCI,0.75,3,
AMD,0.75,3,
AME,0.75,3,
AMGN,0.75,3,
AMKR,0.75,3,
AMOD,0.75,3,
AMPG,0.75,3,
AMPL,0.75,3,
AMPX,0.75,3,
AMPY,0.75,3,
AMR,0.75,3,
AMRZ,0.75,3,
AMSC,0.75,3,
ANET,0.75,3,
ANGO,0.75,3,
ANIK,0.75,3,
ANNA,0.75,3,
ANNX,0.75,3,
ANY,0.75,3,
AOS,0.75,3,
AOSL,0.75,3,
APD,0.75,3,
APEI,0.75,3,
APG,0.75,3,
APLM,0.75,3,
APP,0.75,3,
APPF,0.75,3,
APPN,0.75,3,
APPS,0.75,3,
APYX,0.75,3,
AQST,0.75,3,
ARAI,0.75,3,
ARCB,0.75,3,
ARDX,0.75,3,
ARGX,0.75,3,
ARLO,0.75,3,
ARLP,0.75,3,
ARM,0.75,3,
ARQT,0.75,3,
ARW,0.75,3,
ARWR,0.75,3,
AS,0.75,3,
ASAN,0.75,3,
ASC,0.75,3,
ASM,0.75,3,
ASML,0.75,3,
ASND,0.75,3,
ASPN,0.75,3,
ASR,0.75,3,
ASTE,0.75,3,
ASTI,0.75,3,
ASX,0.75,3,
